cytoband	3p11.2	1q43	2q37.1	17p13.1	13q14.3	16q24.3	19p12	10q21.3	11q11	22q13.33	5q35.1	15q14	18q21.1	19p13.2	
											MCCC2	SNORD116-6			
											EPB41L4A	SNORD116-7			
											CENPK	SNORD116-8			
											ERAP2	SNORD116-9			
											RGNEF	SNORD116-10			
											NSD1	SNORD116-11			
											SIL1	SNORD116-12			
											GMCL1P1	SNORD116-13			
											ARAP3	SNORD116-14			
											RMND5B	SNORD116-15			
											FBXL17	SNORD116-16			
											YTHDC2	SNORD116-17			
											RANBP17	SNORD116-18			
											SLC30A5	SNORD116-20			
											CENPH	SNORD116-21			
											GPBP1	SNORD116-22			
											GRAMD3	SNORD116-23			
											PCYOX1L	SNORD116-24			
											CCNJL	SNORD116-25			
											SH3TC2	SNORD115-2			
											PANK3	SNORD116-26			
											PARP8	SNORD116-27			
											SAP30L	SNORD115-3			
											ANKRD55	SNORD115-4			
											TXNDC15	SNORD115-5			
											MCTP1	SNORD115-6			
											PTCD2	SNORD115-7			
											BTNL8	SNORD115-8			
											DOK3	SNORD115-9			
											ELOVL7	SNORD115-10			
											C5orf44	SNORD115-11			
											ZFP2	SNORD115-12			
											RUFY1	SNORD115-13			
											CPEB4	SNORD115-14			
											PRR7	SNORD115-15			
											NDFIP1	SNORD115-16			
											OR4F16	SNORD115-17			
											FBXO38	SNORD115-18			
											YIPF5	SNORD115-19			
											TRIM7	SNORD115-20			
											TIGD6	SNORD115-21			
											SPRY4	SNORD115-22			
											MXD3	SNORD115-23			
											NUDT12	SNORD115-25			
											SLC4A9	SNORD115-26			
											ATG10	SNORD115-29			
											SLC25A2	SNORD115-30			
											SPATA9	SNORD115-31			
											TSSK1B	SNORD115-32			
											FAM172A	SNORD115-33			
											PCDHB19P	SNORD115-34			
											GPR98	SNORD115-35			
											PCBD2	SNORD115-36			
											UTP15	SNORD115-37			
											ZCCHC9	SNORD115-38			
											PSD2	SNORD115-39			
											ANKRD32	SNORD115-40			
											THOC3	SNORD115-41			
											ZBED3	SNORD115-42			
											GFM2	SNORD115-43			
											C5orf32	SNORD115-44			
											MEGF10	SNORD116-28			
											SPINK7	SNORD116-29			
											SPZ1	SNORD115-48			
											TRIM52	SNORD115-24			
											HAVCR2	SNORD115-27			
											AGXT2L2	SNORD115-28			
											C5orf62	SNORD115-45			
											TSLP	SNORD115-47			
											FCHSD1	MIR147B			
											UNC5A	DNM1P35			
											C5orf30	LOC100128714			
											LYRM7	LOC100129387			
											TRIM41	LOC100130855			
											SLC25A46	LOC100131089			
											BOD1	ANKRD63			
											CDKN2AIPNL	HERC2P7			
											COL23A1	GOLGA8F			
											TIMD4	LOC100132724			
											NDUFAF2	GOLGA8DP			
											ZNF300	JMJD7			
											MYOZ3	PLA2G4B			
											UBTD2	LOC100287559			
											MRPS36	LOC100287616			
											ATP6AP1L	ULK4P2			
											SCGB3A1	LOC100288615			
											PRDM6	LOC100288637			
											FTMT	LOC100289656			
											SFXN1	MIR1233-1			
											FNIP1	MIR1272			
											SNX18	MIR1266			
											SLC35A4	MIR1282			
											GPRIN1	LOC100306975			
											PWWP2A	MIR548H4			
											C1QTNF2	MIR2116			
											EPB41L4A-AS1	MIR1233-2			
											MARCH3	MIR4311			
											FCHO2	MIR4312			
											RAB3C	MIR4310			
											LYSMD3	MIR4313			
											LEAP2	MIR3942			
											SCGB3A2	LOC100505648			
											ZNF354B	LOC100506686			
											C5orf35	LOC100507466			
											IL31RA	SERF2-C15ORF63			
											EMB	DYX1C1-CCPG1			
											SLCO6A1	MIR4513			
											C5orf47	MIR4509-1			
											PPARGC1B	MIR4509-2			
											PRRC1	MIR4508			
											JMY	MIR4510			
											C5orf58	MIR4716			
											ZNF474	MIR4713			
											OR2Y1	MIR4511			
											POU5F2	MIR4509-3			
											AFAP1L1	MIR4712			
											GRPEL2	MIR4715			
											TMEM171	TMCO5B			
											TMEM174	MYZAP			
											LSM11				
											POC5				
											GPR151				
											STARD4				
											WDR36				
											ZNF300P1				
											NUDCD2				
											UBLCP1				
											ACOT12				
											SOWAHA				
											SHROOM1				
											C5orf24				
											SREK1				
											C5orf20				
											SLC38A9				
											SLC36A2				
											SPINK13				
											C5orf41				
											CEP120				
											SLC25A48				
											TMEM167A				
											MBLAC2				
											TMEM161B				
											SRFBP1				
											LOC153469				
											ZMAT2				
											MARVELD2				
											BTNL9				
											ARSK				
											FAM81B				
											CCDC112				
											PPP1R2P3				
											FAM71B				
											PRELID2				
											SH3RF2				
											PLAC8L1				
											RNF145				
											MIER3				
											CDC20B				
											PAPD4				
											DCP2				
											LIX1				
											ZNF366				
											FAM151B				
											S100Z				
											ADAMTS19				
											HIGD2A				
											SPATA24				
											DNAJC18				
											FAM153B				
											LOC202181				
											CCDC125				
											C5orf27				
											GAPT				
											CMYA5				
											STK32A				
											AQPEP				
											SLC36A1				
											EIF4E1B				
											RASGEF1C				
											ANKRD31				
											SERINC5				
											LOC257358				
											LOC257396				
											EFCAB9				
											SH3PXD2B				
											LOC285593				
											FAM153A				
											ARL10				
											KIAA0825				
											GPR150				
											DTWD2				
											RELL2				
											NBPF22P				
											LOC285626				
											LOC285627				
											LOC285629				
											SLC36A3				
											KIF4B				
											OR2V2				
											C5orf64				
											RNF180				
											SREK1IP1				
											ZNF454				
											C5orf60				
											RGMB				
											RFESD				
											CHSY3				
											LOC340037				
											TMEM173				
											FAM170A				
											LOC340073				
											LOC340074				
											ARSI				
											ANKRD34B				
											PFN3				
											ZNF879				
											IRGM				
											FBLL1				
											IDAS				
											ACTBL2				
											FAM174A				
											MTX3				
											CATSPER3				
											NIPAL4				
											HCN1				
											SLCO4C1				
											TICAM2				
											DND1				
											MAST4				
											C5orf25				
											RNF138P1				
											FLJ38109				
											C5orf48				
											LOC389332				
											C5orf65				
											C5orf46				
											ARHGEF37				
											RGS7BP				
											C5orf63				
											SPINK6				
											ANKHD1-EIF4EBP3				
											MIR103A1				
											MIR143				
											MIR145				
											MIR146A				
											MIR218-2				
											MIR9-2				
											SPINK14				
											FNDC9				
											CRSP8P				
											FLJ42709				
											C5orf56				
											FLJ16171				
											MIR340				
											IGIP				
											GPX8				
											TIFAB				
											FLJ35946				
											LOC553103				
											MIR449A				
											CTXN3				
											SNORD95				
											SNORD96A				
											ECSCR				
											LOC642366				
											TMEM232				
											C5orf43				
											LOC643201				
											GRXCR2				
											SPINK9				
											ZFP62				
											LOC644100				
											FLJ33630				
											LOC644936				
											CCNI2				
											LINC00461				
											CBY3				
											LOC647859				
											GUSBP3				
											GTF2H2B				
											FAM153C				
											SNORA13				
											SCARNA18				
											SNORA47				
											SNORA74B				
											MIR449B				
											MIR581				
											MIR583				
											MIR585				
											SNHG4				
											MIR143HG				
											GTF2H2C				
											LOC728342				
											SERF1B				
											LOC728554				
											LOC728723				
											LOC729080				
											AACSP1				
											LOC729678				
											OR4F29				
											GTF2H2D				
											GUSBP9				
											VTRNA2-1				
											MIR874				
											LOC100129716				
											LRRC70				
											LOC100131067				
											FAM196B				
											LOC100132062				
											LOC100132287				
											FAM159B				
											LOC100133050				
											LOC100133331				
											LOC100170939				
											C5orf52				
											LOC100268168				
											LOC100272216				
											LOC100289230				
											LOC100289673				
											MIR1289-2				
											MIR1229				
											MIR103B1				
											MIR1244-1				
											TMED7-TICAM2				
											NCRUPAR				
											LOC100303749				
											MIR2277				
											MIR449C				
											MIR1244-3				
											MIR1244-2				
											MIR4280				
											MIR3142				
											MIR3141				
											MIR4281				
											MTRNR2L2				
											MIR3607				
											MIR3655				
											MIR3660				
											MIR3912				
											MIR3936				
											MIR3661				
											LOC100505658				
											LOC100505678				
											LOC100505841				
											LOC100505894				
											OCLN				
											LOC100507387				
											MIR4804				
											MIR4633				
											MIR4634				
											MIR4461				
											MIR3977				
											MIR4460				
											MIR4638				
											MIR4803				
											MIR378E				
											LOC100859930				
